,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
469,Luke Weaver (27560539),Sean Manaea (27560532),J.T. Realmuto (27560544),LaMonte Wade Jr. (27560618),Ha-Seong Kim (27560636),J.D. Davis (27560574),Xander Bogaerts (27560559),Michael Conforto (27560584),Mike Yastrzemski (27560586),Thairo Estrada (27560551),49900.0,94.8,14095.400000000189,5549.0,0,0,0,0,0,0,1,0,2,5,97.08993100000018,92.02,123.74600000000002,162.62149999999997,1.5401693998919064,2.543666782322053
470,Kodai Senga (27560531),Luke Weaver (27560539),Tyler Stephenson (27560568),Pete Alonso (27560545),Jonathan India (27560549),Spencer Steer (27560617),Francisco Lindor (27560562),Brandon Nimmo (27560577),Mark Canha (27560609),Nick Senzel (27560653),50000.0,106.6,14036.900000000263,5526.0,0,0,4,0,0,4,0,0,0,0,94.10994399999997,91.19,117.40200000000002,147.67399999999992,1.5401556279406918,2.5435770856143813
471,Matt Strahm (27560537),Roansy Contreras (27560538),Austin Barnes (27560670),Freddie Freeman (27560548),Bryson Stott (27560585),Max Muncy (27560561),Trea Turner (27560541),J.D. Martinez (27560567),Kyle Schwarber (27560542),Trayce Thompson (27560625),49900.0,215.0,13993.200000000259,5509.0,0,0,0,0,5,0,3,0,0,0,91.09803199999979,87.875,115.132,146.64,1.5400617171900997,2.543620797804515
472,Michael Wacha (27560533),Sean Manaea (27560532),Tyler Stephenson (27560568),Wil Myers (27560610),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Trent Grisham (27560597),49500.0,158.8,14076.90000000033,5542.0,0,0,3,0,0,0,0,0,5,0,99.23862299999979,96.01,125.44200000000001,157.2705,1.5400396968603989,2.5434512766339
473,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Pavin Smith (27560633),Nico Hoerner (27560571),Josh Rojas (27560572),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49800.0,159.3,13913.700000000277,5478.0,2,5,0,0,0,0,1,0,0,0,90.95421599999973,87.725,114.43200000000002,144.92149999999995,1.5399233296824164,2.5434112769450663
474,Kodai Senga (27560531),Matt Strahm (27560537),Austin Nola (27560668),Eric Hosmer (27560639),Nico Hoerner (27560571),Manny Machado (27560564),Xander Bogaerts (27560559),Cody Bellinger (27560612),Juan Soto (27560557),Seiya Suzuki (27560554),49900.0,194.2,14032.600000000288,5525.0,0,4,0,0,0,0,0,0,4,0,92.55428299999998,89.98,114.92,140.64149999999995,1.5398371040724503,2.543313479657027
475,Kodai Senga (27560531),Michael Wacha (27560533),Austin Barnes (27560670),Freddie Freeman (27560548),Rodolfo Castro (27560615),Ke'Bryan Hayes (27560582),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),J.D. Martinez (27560567),James Outman (27560581),49600.0,220.0,13826.800000000292,5444.0,0,0,0,0,4,0,0,3,1,0,98.19638800000004,95.67,121.52,148.76,1.5398236590742638,2.5433150211434743
476,Matt Strahm (27560537),Ryne Nelson (27560535),Yan Gomes (27560620),Carlos Santana (27560604),Nico Hoerner (27560571),Ke'Bryan Hayes (27560582),Dansby Swanson (27560546),Bryan Reynolds (27560543),Cody Bellinger (27560612),Ian Happ (27560555),49800.0,159.7,13872.500000000267,5462.0,0,5,0,0,0,0,0,3,0,0,89.4928549999998,86.695,112.43,140.68149999999997,1.5398205785427073,2.5433553597775673
477,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Wil Myers (27560610),Jonathan India (27560549),Eduardo Escobar (27560626),Francisco Lindor (27560562),Jake Fraley (27560563),Mark Canha (27560609),Tommy Pham (27560606),50000.0,129.5,13908.000000000244,5476.0,0,0,4,0,0,4,0,0,0,0,95.01058300000003,91.89500000000001,118.72400000000002,149.68249999999998,1.5398100803506654,2.5434271320498674
478,Kodai Senga (27560531),Michael Wacha (27560533),Tyler Stephenson (27560568),Jason Vosler (27560629),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),49200.0,170.9,13915.60000000033,5479.0,0,0,4,0,0,0,0,0,4,0,100.94058799999996,98.22,126.28,158.4,1.5398065340391183,2.5433120962046125
479,Kodai Senga (27560531),Michael Wacha (27560533),Austin Nola (27560668),Pete Alonso (27560545),Ha-Seong Kim (27560636),Eduardo Escobar (27560626),Fernando Tatis Jr. (27560856),Brandon Nimmo (27560577),Bryan Reynolds (27560543),Juan Soto (27560557),49700.0,188.9,13938.300000000301,5488.0,0,0,0,0,0,3,0,1,4,0,92.77428800000001,90.78,113.53200000000001,137.19199999999998,1.5397776967930579,2.5433321747640436
480,Kodai Senga (27560531),Michael Wacha (27560533),Joey Bart (27560663),Freddie Freeman (27560548),David Villar (27560590),Max Muncy (27560561),Brandon Crawford (27560613),J.D. Martinez (27560567),James Outman (27560581),Trayce Thompson (27560625),50000.0,158.6,13874.800000000243,5463.0,0,0,0,0,5,0,0,0,0,3,93.70128799999999,89.625,117.56200000000001,149.0274999999999,1.5397766794801837,2.5432558987928013
481,Michael Wacha (27560533),Roansy Contreras (27560538),J.T. Realmuto (27560544),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),Juan Soto (27560557),Kyle Schwarber (27560542),50000.0,213.9,13928.00000000029,5484.0,0,0,0,0,0,0,3,0,5,0,99.43151300000024,96.005,126.60400000000001,161.93149999999997,1.5397520058352097,2.54336378101843
482,Kodai Senga (27560531),Luke Weaver (27560539),J.T. Realmuto (27560544),Freddie Freeman (27560548),Miguel Vargas (27560640),Manny Machado (27560564),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),Juan Soto (27560557),Trayce Thompson (27560625),49600.0,216.4,13864.500000000313,5459.0,0,0,0,0,4,0,1,0,3,0,95.5321439999999,92.745,118.36400000000002,147.7805,1.5397508701227904,2.543287593900911
483,Kodai Senga (27560531),Roansy Contreras (27560538),Yan Gomes (27560620),Connor Joe (27560595),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),50000.0,233.3,13793.200000000263,5431.0,0,1,0,0,0,0,0,3,4,0,105.67007399999946,102.31,132.92600000000002,166.82499999999993,1.5397164426441285,2.5433266387599103
484,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Matt Carpenter (27560644),Josh Harrison (27560647),Manny Machado (27560564),Xander Bogaerts (27560559),Juan Soto (27560557),Kyle Schwarber (27560542),Nick Castellanos (27560553),50000.0,168.0,13765.100000000253,5420.0,0,0,0,0,0,0,4,0,4,0,98.05081599999967,94.985,123.162,154.38249999999996,1.5396863468635154,2.543322320130087
485,Luke Weaver (27560539),Sean Manaea (27560532),Tyler Stephenson (27560568),Wil Myers (27560610),Ha-Seong Kim (27560636),Manny Machado (27560564),Xander Bogaerts (27560559),Jake Fraley (27560563),Juan Soto (27560557),Trent Grisham (27560597),49800.0,118.1,13838.500000000266,5449.0,0,0,3,0,0,0,0,0,5,0,97.42093100000015,94.135,123.102,153.72099999999998,1.5396403009727042,2.5431835153431956
486,Kodai Senga (27560531),Michael Wacha (27560533),Tyler Stephenson (27560568),Freddie Freeman (27560548),Miguel Vargas (27560640),Max Muncy (27560561),Jose Barrero (27560660),J.D. Martinez (27560567),Trayce Thompson (27560625),Wil Myers (27560610),49800.0,153.4,13937.500000000255,5488.0,0,0,3,0,5,0,0,0,0,0,100.49448799999998,97.19,125.89400000000002,159.57249999999996,1.5396319241982972,2.5431499590206035
487,Matt Strahm (27560537),Michael Wacha (27560533),Tyler Stephenson (27560568),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49500.0,201.4,13904.300000000327,5475.0,0,0,1,0,0,0,0,2,5,0,101.61607599999981,97.795,128.174,161.48099999999997,1.5395981735160413,2.5431610913433924
488,Matt Strahm (27560537),Sean Manaea (27560532),Tyler Stephenson (27560568),Matt Carpenter (27560644),Jonathan India (27560549),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),49500.0,182.6,13904.300000000314,5475.0,0,0,4,0,0,0,0,0,4,0,100.2791249999997,97.035,126.56200000000001,159.02,1.5395981735160391,2.5431610913433924
489,Kodai Senga (27560531),Michael Wacha (27560533),Austin Nola (27560668),Pete Alonso (27560545),Jeff McNeil (27560600),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Nimmo (27560577),Juan Soto (27560557),Mark Canha (27560609),49500.0,179.6,13896.600000000308,5472.0,0,0,0,0,0,4,0,0,4,0,99.566188,96.89500000000001,124.12,154.68099999999998,1.5395833333333895,2.543093379953412
490,Kodai Senga (27560531),Michael Wacha (27560533),Austin Barnes (27560670),Pete Alonso (27560545),Miguel Vargas (27560640),Max Muncy (27560561),Francisco Lindor (27560562),Brandon Nimmo (27560577),Mark Canha (27560609),Tommy Pham (27560606),50000.0,148.2,13792.400000000249,5431.0,0,0,0,0,3,5,0,0,0,0,87.0607880000001,83.82499999999999,109.67200000000001,139.29099999999997,1.5395691401215703,2.5431425106067156
491,Matt Strahm (27560537),Michael Wacha (27560533),Austin Hedges (27560641),Freddie Freeman (27560548),Ji Hwan Bae (27560578),Max Muncy (27560561),Rodolfo Castro (27560615),Bryan Reynolds (27560543),J.D. Martinez (27560567),Trayce Thompson (27560625),49500.0,170.7,13728.700000000266,5406.0,0,0,0,0,4,0,0,4,0,0,103.19967599999974,99.56,131.292,166.49099999999999,1.5395301516833642,2.543064553293576
492,Michael Grove (27560536),Michael Wacha (27560533),J.T. Realmuto (27560544),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Kyle Schwarber (27560542),Ji Hwan Bae (27560578),49200.0,172.8,13690.500000000293,5391.0,0,0,0,0,0,0,2,1,5,0,97.92139399999988,95.13499999999999,124.19,153.83299999999997,1.5395102949360588,2.5430916295872885
493,Kodai Senga (27560531),Michael Wacha (27560533),J.T. Realmuto (27560544),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Wil Myers (27560610),50000.0,194.6,13736.200000000326,5409.0,0,0,2,0,0,0,1,0,5,0,101.31598799999998,98.24,126.37,158.20099999999996,1.539508227029086,2.543133106878364
494,Michael Wacha (27560533),Sean Manaea (27560532),Yan Gomes (27560620),Jake Cronenworth (27560588),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),50000.0,205.0,13769.200000000299,5422.0,0,4,0,0,0,0,0,0,4,0,101.35652299999983,98.33500000000001,126.98,159.44399999999993,1.5395057174474915,2.5431219061425807
495,Michael Wacha (27560533),Ryne Nelson (27560535),Elias Diaz (27560587),C.J. Cron (27560550),Ryan McMahon (27560570),Elehuris Montero (27560608),Francisco Lindor (27560562),Brandon Nimmo (27560577),Jurickson Profar (27560592),Mark Canha (27560609),49400.0,55.2,13758.900000000209,5418.0,0,0,0,5,0,3,0,0,0,0,81.10719999999988,78.51,103.56,128.65149999999997,1.5394795127353653,2.542969172223158
496,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Carlos Santana (27560604),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Bryan Reynolds (27560543),Jack Suwinski (27560627),Juan Soto (27560557),49900.0,218.8,13776.600000000328,5425.0,0,0,1,0,0,0,0,3,4,0,102.10038299999998,98.905,126.53400000000002,157.53,1.5394654377880788,2.543005894028585
497,Kodai Senga (27560531),Luke Weaver (27560539),Austin Barnes (27560670),Freddie Freeman (27560548),Ryan McMahon (27560570),Max Muncy (27560561),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),Jurickson Profar (27560592),Kris Bryant (27560547),49400.0,179.7,13690.100000000273,5391.0,0,0,0,3,4,0,0,0,1,0,90.57244399999998,87.775,111.822,137.60149999999996,1.5394360971990861,2.5430916295872885
498,Kodai Senga (27560531),Matt Strahm (27560537),J.T. Realmuto (27560544),Freddie Freeman (27560548),Miguel Vargas (27560640),Max Muncy (27560561),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),James Outman (27560581),Trayce Thompson (27560625),50000.0,240.4,13847.50000000029,5453.0,0,0,0,0,5,0,2,0,1,0,92.650683,90.0,114.84,142.17049999999998,1.5394278378874544,2.542968453164326
499,Kodai Senga (27560531),Michael Wacha (27560533),Austin Barnes (27560670),Freddie Freeman (27560548),Ha-Seong Kim (27560636),Manny Machado (27560564),Xander Bogaerts (27560559),David Peralta (27560638),Juan Soto (27560557),Trayce Thompson (27560625),49700.0,174.9,13720.50000000032,5403.0,0,0,0,0,4,0,0,0,4,0,93.18128799999998,91.015,115.09200000000001,141.94349999999994,1.5394225430317083,2.5429959235804316
500,Luke Weaver (27560539),Michael Wacha (27560533),J.T. Realmuto (27560544),Wil Myers (27560610),Nico Hoerner (27560571),Nick Senzel (27560653),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49900.0,129.4,13679.700000000264,5387.0,0,5,2,0,0,0,1,0,0,0,102.1601709999998,98.57499999999999,129.21400000000003,164.84499999999994,1.539391126786758,2.54293799426491
501,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Pavin Smith (27560633),Ketel Marte (27560573),Josh Rojas (27560572),Trea Turner (27560541),Corbin Carroll (27560580),Lourdes Gurriel Jr. (27560599),Nick Castellanos (27560553),49400.0,139.8,13727.800000000256,5406.0,5,0,0,0,0,0,3,0,0,0,87.16461599999971,84.17500000000001,109.772,137.85549999999992,1.5393636699963478,2.5428795736413377
502,Kodai Senga (27560531),Michael Wacha (27560533),Yan Gomes (27560620),Connor Joe (27560595),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Bryan Reynolds (27560543),Jack Suwinski (27560627),Juan Soto (27560557),50000.0,209.2,13791.100000000277,5431.0,0,1,0,0,0,0,0,3,4,0,107.12788800000001,103.69,133.78400000000002,167.94099999999997,1.5393297735224225,2.5429583824535213
503,Luke Weaver (27560539),Michael Wacha (27560533),Blake Sabol (27560631),Jake Cronenworth (27560588),Nico Hoerner (27560571),Manny Machado (27560564),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49800.0,132.7,13770.60000000027,5423.0,0,5,0,0,0,0,0,0,2,1,102.23437099999983,99.005,129.59600000000003,161.361,1.5392955928453382,2.5428373548045498
504,Kodai Senga (27560531),Matt Strahm (27560537),J.T. Realmuto (27560544),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Brandon Marsh (27560558),Corbin Carroll (27560580),Juan Soto (27560557),49200.0,231.3,13714.700000000314,5401.0,1,0,0,0,0,0,2,0,5,0,93.44298300000001,90.48,117.052,145.36149999999998,1.5392890205518077,2.5428266941501705
505,Michael Grove (27560536),Sean Manaea (27560532),J.T. Realmuto (27560544),Pavin Smith (27560633),Ketel Marte (27560573),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Corbin Carroll (27560580),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),49600.0,171.8,13760.400000000234,5419.0,4,0,0,0,0,0,1,0,3,0,88.07237100000025,85.39,111.61400000000002,139.76049999999998,1.5392876914560314,2.5428689749225084
506,Michael Wacha (27560533),Sean Manaea (27560532),Austin Nola (27560668),Freddie Freeman (27560548),Miguel Vargas (27560640),Max Muncy (27560561),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),James Outman (27560581),Juan Soto (27560557),49400.0,222.6,13610.200000000264,5360.0,0,0,0,0,5,0,0,0,3,0,91.47412299999968,88.49,115.17400000000002,144.13749999999987,1.539216417910497,2.542874435653931
507,Kodai Senga (27560531),Roansy Contreras (27560538),Yan Gomes (27560620),Freddie Freeman (27560548),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),49900.0,257.2,13643.100000000299,5373.0,0,4,0,0,1,0,0,0,3,0,95.99537399999973,93.095,119.01200000000001,146.61149999999998,1.5391959798995531,2.5428637586274094
508,Kodai Senga (27560531),Sean Manaea (27560532),Gabriel Moreno (27560656),Jake Cronenworth (27560588),Ketel Marte (27560573),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Corbin Carroll (27560580),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),50000.0,210.5,13640.500000000255,5372.0,4,0,0,0,0,0,0,0,4,0,98.26535399999992,95.19,122.81200000000001,155.54149999999996,1.539184661206302,2.5427786625288666
509,Roansy Contreras (27560538),Sean Manaea (27560532),Elias Diaz (27560587),Pavin Smith (27560633),Ketel Marte (27560573),Manny Machado (27560564),Xander Bogaerts (27560559),Corbin Carroll (27560580),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),49500.0,161.1,13693.800000000252,5393.0,4,0,0,1,0,0,0,0,3,0,86.90614399999977,83.91,109.89200000000001,138.23499999999993,1.5391804190617935,2.542704797905632
510,Kodai Senga (27560531),Roansy Contreras (27560538),Gabriel Moreno (27560656),Pete Alonso (27560545),Ketel Marte (27560573),Josh Rojas (27560572),Francisco Lindor (27560562),Brandon Nimmo (27560577),Mark Canha (27560609),Tommy Pham (27560606),49200.0,152.2,13652.700000000264,5377.0,3,0,0,0,0,5,0,0,0,0,85.80737399999951,82.205,108.76400000000002,138.49,1.539092430723501,2.542645894570406
511,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Christian Walker (27560614),Ketel Marte (27560573),Josh Rojas (27560572),Trea Turner (27560541),Corbin Carroll (27560580),Jake Cave (27560637),Kyle Schwarber (27560542),49800.0,160.4,13624.700000000254,5366.0,4,0,0,0,0,0,4,0,0,0,89.0004159999998,86.065,112.03,141.36,1.5390793887439906,2.542640136993118
512,Kodai Senga (27560531),Michael Wacha (27560533),Tyler Stephenson (27560568),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Ji Hwan Bae (27560578),49600.0,182.3,13581.500000000335,5349.0,0,0,2,0,0,0,0,1,5,0,102.08968799999997,99.33,127.4,158.70049999999998,1.5390727238736839,2.5426821789315897
513,Luke Weaver (27560539),Sean Manaea (27560532),Gabriel Moreno (27560656),Christian Walker (27560614),Bryson Stott (27560585),Josh Rojas (27560572),Trea Turner (27560541),Corbin Carroll (27560580),Kyle Schwarber (27560542),Lourdes Gurriel Jr. (27560599),49600.0,140.7,13337.600000000257,5253.0,5,0,0,0,0,0,3,0,0,0,88.48833100000024,85.42,111.5,142.04049999999998,1.539044355606369,2.5427007376937127
514,Luke Weaver (27560539),Ryne Nelson (27560535),Tyler Stephenson (27560568),Pete Alonso (27560545),Jonathan India (27560549),Spencer Steer (27560617),Francisco Lindor (27560562),Brandon Nimmo (27560577),Jake Fraley (27560563),Mark Canha (27560609),49900.0,69.8,13522.600000000259,5326.0,0,0,4,0,0,4,0,0,0,0,87.63607200000008,84.57499999999999,110.802,140.68599999999992,1.5389785955689559,2.542584862017475
515,Matt Strahm (27560537),Roansy Contreras (27560538),Gabriel Moreno (27560656),Christian Walker (27560614),Ketel Marte (27560573),Josh Rojas (27560572),Trea Turner (27560541),Corbin Carroll (27560580),Kyle Schwarber (27560542),Nick Castellanos (27560553),49400.0,181.6,13497.000000000235,5316.0,5,0,0,0,0,0,3,0,0,0,86.57973199999996,83.32,110.42600000000003,141.462,1.53893905191878,2.5426649689813905
516,Kodai Senga (27560531),Sean Manaea (27560532),Yan Gomes (27560620),Matt Carpenter (27560644),Ha-Seong Kim (27560636),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Jurickson Profar (27560592),Kris Bryant (27560547),49600.0,190.2,13606.100000000286,5359.0,0,1,0,2,0,0,0,0,5,0,91.60375399999988,88.54,114.36200000000001,142.39,1.5389251726068829,2.5426025331414577
517,Michael Wacha (27560533),Sean Manaea (27560532),Austin Barnes (27560670),Trey Mancini (27560635),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Ian Happ (27560555),Juan Soto (27560557),Seiya Suzuki (27560554),50000.0,192.6,13456.300000000283,5300.0,0,4,0,0,1,0,0,0,3,0,93.0912229999997,90.515,116.56600000000003,144.14049999999997,1.5389245283019402,2.5426050896424663
518,Matt Strahm (27560537),Sean Manaea (27560532),Blake Sabol (27560631),Carlos Santana (27560604),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Juan Soto (27560557),49900.0,198.6,13430.900000000267,5290.0,0,0,0,0,0,0,0,3,4,1,104.41622499999977,101.17,130.6,164.93149999999997,1.5389224952741525,2.5424965926474616
519,Matt Strahm (27560537),Michael Wacha (27560533),Austin Nola (27560668),Pete Alonso (27560545),Jake Cronenworth (27560588),Manny Machado (27560564),Francisco Lindor (27560562),Brandon Nimmo (27560577),Juan Soto (27560557),Mark Canha (27560609),49400.0,157.3,13425.700000000274,5288.0,0,0,0,0,0,4,0,0,4,0,97.15807599999987,94.495,122.322,153.14149999999995,1.53889939485633,2.5425126654888563
520,Kodai Senga (27560531),Michael Wacha (27560533),Yan Gomes (27560620),Trey Mancini (27560635),Nico Hoerner (27560571),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Cody Bellinger (27560612),Ian Happ (27560555),Juan Soto (27560557),49300.0,213.3,13438.300000000321,5293.0,0,5,0,0,0,0,0,0,3,0,95.24848800000002,92.42,119.412,147.23,1.5388815416588553,2.5425669705469627
521,Matt Strahm (27560537),Michael Wacha (27560533),Austin Nola (27560668),Alec Bohm (27560565),Bryson Stott (27560585),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Kyle Schwarber (27560542),Nick Castellanos (27560553),49600.0,198.0,13519.400000000298,5325.0,0,0,0,0,0,0,4,0,4,0,100.78667599999983,98.07499999999999,126.37,157.32,1.5388544600939527,2.542498962461046
522,Michael Grove (27560536),Michael Wacha (27560533),Elias Diaz (27560587),Pete Alonso (27560545),Ryan McMahon (27560570),Elehuris Montero (27560608),Francisco Lindor (27560562),Brandon Nimmo (27560577),Jurickson Profar (27560592),Mark Canha (27560609),49400.0,64.0,8901.200000000134,3506.0,0,0,0,4,0,4,0,0,0,0,81.24119399999964,78.57,104.25,130.97099999999998,1.5388476896748813,2.544440095580454
523,Roansy Contreras (27560538),Sean Manaea (27560532),Austin Barnes (27560670),Freddie Freeman (27560548),Thairo Estrada (27560551),Manny Machado (27560564),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),James Outman (27560581),Juan Soto (27560557),49900.0,240.1,13448.100000000268,5297.0,0,0,0,0,4,0,0,0,3,1,98.26524399999965,95.43,123.742,152.97299999999996,1.5388144232584988,2.542534826336619
524,Kodai Senga (27560531),Michael Wacha (27560533),Tyler Stephenson (27560568),Matt Carpenter (27560644),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Tommy Pham (27560606),49900.0,183.9,13384.6000000003,5272.0,0,0,2,0,0,1,0,0,5,0,101.10038799999997,97.485,126.91400000000002,160.5984999999999,1.5388088012140175,2.5424520059000515
525,Roansy Contreras (27560538),Ryne Nelson (27560535),Joey Bart (27560663),LaMonte Wade Jr. (27560618),Bryson Stott (27560585),J.D. Davis (27560574),Trea Turner (27560541),Kyle Schwarber (27560542),Michael Conforto (27560584),Thairo Estrada (27560551),49400.0,112.1,13460.700000000203,5302.0,0,0,0,0,0,0,3,0,0,5,95.55103999999976,90.83500000000001,123.73200000000001,161.40349999999995,1.5387966804979636,2.542400410242375
526,Luke Weaver (27560539),Sean Manaea (27560532),Joey Bart (27560663),Christian Walker (27560614),Nico Hoerner (27560571),Josh Rojas (27560572),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49500.0,131.8,13376.900000000267,5269.0,2,5,0,0,0,0,0,0,0,1,88.15473100000024,84.935,110.992,142.77349999999996,1.5387929398368319,2.542381282046892
527,Luke Weaver (27560539),Michael Wacha (27560533),Elias Diaz (27560587),Matt Carpenter (27560644),Ryan McMahon (27560570),Manny Machado (27560564),Xander Bogaerts (27560559),Juan Soto (27560557),Jurickson Profar (27560592),Kris Bryant (27560547),49500.0,101.0,13397.200000000255,5277.0,0,0,0,4,0,0,0,0,4,0,89.08857100000006,85.96,112.92200000000001,142.75299999999996,1.538790979723376,2.542506533087942
528,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Wil Myers (27560610),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Jake Fraley (27560563),Juan Soto (27560557),Lourdes Gurriel Jr. (27560599),49200.0,202.3,7334.500000000127,2889.0,1,0,3,0,0,0,0,0,4,0,107.27008300000013,103.905,134.234,166.88199999999998,1.5387677397023631,2.545450666356896
529,Kodai Senga (27560531),Michael Wacha (27560533),Austin Nola (27560668),Freddie Freeman (27560548),Miguel Vargas (27560640),Max Muncy (27560561),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),James Outman (27560581),Juan Soto (27560557),49800.0,238.6,13394.500000000278,5276.0,0,0,0,0,5,0,0,0,3,0,93.00548799999999,90.0,116.62200000000001,144.94099999999997,1.5387604245641164,2.5424198209069506
530,Kodai Senga (27560531),Michael Wacha (27560533),Blake Sabol (27560631),Pete Alonso (27560545),Jake Cronenworth (27560588),Manny Machado (27560564),Fernando Tatis Jr. (27560856),Juan Soto (27560557),Mark Canha (27560609),Tommy Pham (27560606),49800.0,179.7,13526.500000000242,5328.0,0,0,0,0,0,3,0,0,4,1,103.95438799999988,101.14,129.45,160.7105,1.538757507507553,2.5423811890212225
531,Matt Strahm (27560537),Roansy Contreras (27560538),Gabriel Moreno (27560656),Pete Alonso (27560545),Nico Hoerner (27560571),Josh Rojas (27560572),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49800.0,187.3,13498.400000000247,5317.0,2,5,0,0,0,1,0,0,0,0,88.94063199999991,85.75,112.102,141.49,1.5387248448373607,2.542374830751377
532,Kodai Senga (27560531),Sean Manaea (27560532),Austin Nola (27560668),Freddie Freeman (27560548),Jake Cronenworth (27560588),Max Muncy (27560561),Fernando Tatis Jr. (27560856),J.D. Martinez (27560567),Trayce Thompson (27560625),Trent Grisham (27560597),49800.0,205.9,13389.200000000243,5274.0,0,0,0,0,4,0,0,0,4,0,97.2633539999999,94.13499999999999,121.85,153.01,1.538718240424771,2.5424359073009235
