,P1,P2,C,First_Base,Second_Base,Third_Base,SS,OF1,OF2,OF3,Salary,Ownership,Profit,Selections,ARI,CHC,CIN,COL,LAD,NYM,PHI,PIT,SD,SF,Mean,Median,80th Percentile,95th Percentile,Value,UCB
14,Michael Wacha (27560533),Ryne Nelson (27560535),Austin Barnes (27560670),Freddie Freeman (27560548),David Villar (27560590),J.D. Davis (27560574),Xander Bogaerts (27560559),J.D. Martinez (27560567),James Outman (27560581),Mike Yastrzemski (27560586),49500.0,119.4,2998.2999999999984,1070.0,0,0,0,0,4,0,0,0,1,3,90.0720999999998,86.51,113.08600000000003,141.49,1.8021495327102788,2.820380350565488
15,Michael Wacha (27560533),Sean Manaea (27560532),Tyler Stephenson (27560568),Jason Vosler (27560629),Nico Hoerner (27560571),Spencer Steer (27560617),Rodolfo Castro (27560615),Jake Fraley (27560563),Ji Hwan Bae (27560578),Wil Myers (27560610),49200.0,104.6,4047.5999999999894,1445.0,0,1,5,0,0,0,0,2,0,0,108.35322299999997,104.85499999999999,136.72,172.47099999999998,1.8011072664359788,2.814399290730154
16,Luke Weaver (27560539),Matt Strahm (27560537),Yan Gomes (27560620),Trey Mancini (27560635),Bryson Stott (27560585),Alec Bohm (27560565),Trea Turner (27560541),Brandon Marsh (27560558),Ian Happ (27560555),Kyle Schwarber (27560542),49600.0,146.4,6757.800000000081,2416.0,0,3,0,0,0,0,5,0,0,0,95.59861599999964,92.215,120.54200000000002,151.98149999999995,1.7971026490066562,2.80496977446402
17,Ryne Nelson (27560535),Sean Manaea (27560532),Austin Barnes (27560670),Freddie Freeman (27560548),Josh Harrison (27560647),Ke'Bryan Hayes (27560582),Rodolfo Castro (27560615),Bryan Reynolds (27560543),J.D. Martinez (27560567),James Outman (27560581),49800.0,166.4,4574.700000000003,1638.0,0,0,0,0,4,0,1,3,0,0,99.05506399999996,95.95,123.99800000000002,153.41,1.7928571428571445,2.804521962823609
18,Ryne Nelson (27560535),Sean Manaea (27560532),Yan Gomes (27560620),Trey Mancini (27560635),Thairo Estrada (27560551),David Villar (27560590),Brandon Crawford (27560613),Ian Happ (27560555),Michael Conforto (27560584),Seiya Suzuki (27560554),49800.0,89.0,2822.399999999998,1011.0,0,4,0,0,0,0,0,0,0,4,92.759864,89.21,117.962,148.29049999999998,1.7916913946587516,2.81088721573202
19,Kodai Senga (27560531),Ryne Nelson (27560535),Blake Sabol (27560631),Trey Mancini (27560635),Nico Hoerner (27560571),J.D. Davis (27560574),Geraldo Perdomo (27560593),Ian Happ (27560555),LaMonte Wade Jr. (27560618),Thairo Estrada (27560551),49600.0,98.6,2586.5999999999995,930.0,1,3,0,0,0,0,0,0,0,4,105.726802,101.46,130.28,164.46399999999994,1.7812903225806447,2.801942983983949
20,Luke Weaver (27560539),Michael Wacha (27560533),Elias Diaz (27560587),Pete Alonso (27560545),Ryan McMahon (27560570),Eduardo Escobar (27560626),Francisco Lindor (27560562),Brandon Nimmo (27560577),Kris Bryant (27560547),Mark Canha (27560609),49400.0,77.8,8025.6000000001295,2889.0,0,0,0,3,0,5,0,0,0,0,85.67997100000017,82.53,108.95200000000001,136.69,1.7779854620976565,2.7846337746988827
21,Kodai Senga (27560531),Matt Strahm (27560537),Austin Barnes (27560670),Freddie Freeman (27560548),Miguel Vargas (27560640),Josh Rojas (27560572),Geraldo Perdomo (27560593),Bryan Reynolds (27560543),Corbin Carroll (27560580),James Outman (27560581),49600.0,208.3,4423.80000000001,1595.0,3,0,0,0,4,0,0,1,0,0,94.34878300000001,92.29,115.44200000000001,140.67249999999996,1.7735423197492226,2.785458918561174
22,Michael Wacha (27560533),Ryan Feltner (27560540),Elias Diaz (27560587),Pete Alonso (27560545),Ryan McMahon (27560570),Elehuris Montero (27560608),Francisco Lindor (27560562),Jurickson Profar (27560592),Kris Bryant (27560547),Mark Canha (27560609),49200.0,64.5,6352.400000000071,2295.0,0,0,0,5,0,3,0,0,0,0,79.4138539999998,76.535,102.48200000000001,129.70049999999998,1.7679302832244317,2.7763864815272643
23,Ryne Nelson (27560535),Sean Manaea (27560532),Elias Diaz (27560587),LaMonte Wade Jr. (27560618),Ryan McMahon (27560570),J.D. Davis (27560574),Alan Trejo (27560682),Ian Happ (27560555),Kris Bryant (27560547),Yonathan Daza (27560621),49200.0,64.7,2065.7999999999984,747.0,0,1,0,5,0,0,0,0,0,2,90.70216400000001,87.68,113.89,143.43149999999997,1.765461847389556,2.7909062585074595
24,Matt Strahm (27560537),Ryne Nelson (27560535),Yan Gomes (27560620),Wil Myers (27560610),Bryson Stott (27560585),Patrick Wisdom (27560569),Trea Turner (27560541),Cody Bellinger (27560612),Ian Happ (27560555),Seiya Suzuki (27560554),49500.0,148.7,3043.3999999999983,1103.0,0,5,1,0,0,0,2,0,0,0,93.35445499999976,89.95,117.15,146.45349999999993,1.7592021758839513,2.776796894927536
25,Kodai Senga (27560531),Ryne Nelson (27560535),Yan Gomes (27560620),Trey Mancini (27560635),Ryan McMahon (27560570),Patrick Wisdom (27560569),Alan Trejo (27560682),Cody Bellinger (27560612),Kris Bryant (27560547),Seiya Suzuki (27560554),49200.0,112.1,3369.3999999999955,1223.0,0,5,0,3,0,0,0,0,0,0,86.80500200000006,83.82499999999999,108.7,135.40149999999997,1.7550286181520813,2.77089695429687
26,Luke Weaver (27560539),Matt Strahm (27560537),J.T. Realmuto (27560544),Wil Myers (27560610),Bryson Stott (27560585),Nick Senzel (27560653),Trea Turner (27560541),Kyle Schwarber (27560542),Nick Castellanos (27560553),Tommy Pham (27560606),49500.0,138.0,7259.200000000099,2639.0,0,0,2,0,0,1,5,0,0,0,100.80361599999964,97.7,127.62400000000005,159.07399999999993,1.750738916256195,2.7581686150454994
27,Kodai Senga (27560531),Matt Strahm (27560537),Tyler Stephenson (27560568),Carlos Santana (27560604),Spencer Steer (27560617),Rodolfo Castro (27560615),Bryan Reynolds (27560543),Jake Fraley (27560563),Wil Myers (27560610),Ji Hwan Bae (27560578),50000.0,149.8,3480.199999999999,1271.0,0,0,4,0,0,0,0,4,0,0,110.54698300000013,106.74000000000001,139.16,176.53149999999997,1.7381589299763958,2.753585346266776
28,Luke Weaver (27560539),Sean Manaea (27560532),Elias Diaz (27560587),C.J. Cron (27560550),Geraldo Perdomo (27560593),Elehuris Montero (27560608),Dansby Swanson (27560546),Cody Bellinger (27560612),Ian Happ (27560555),Jurickson Profar (27560592),49700.0,90.5,4693.500000000002,1717.0,1,3,0,4,0,0,0,0,0,0,88.75333100000024,85.78,111.09600000000003,138.14249999999996,1.7335468841001758,2.744791482297654
29,Kodai Senga (27560531),Michael Wacha (27560533),Tyler Stephenson (27560568),Jonathan India (27560549),Alec Bohm (27560565),Rodolfo Castro (27560615),Jake Fraley (27560563),Josh Harrison (27560647),Wil Myers (27560610),Jose Barrero (27560660),49900.0,108.7,5852.5000000000655,2142.0,0,0,5,0,0,0,2,1,0,0,117.42938799999959,113.87,146.88000000000002,182.30399999999995,1.732259570494895,2.7412730976214155
30,Luke Weaver (27560539),Sean Manaea (27560532),J.T. Realmuto (27560544),Christian Walker (27560614),Bryson Stott (27560585),Josh Rojas (27560572),Jose Barrero (27560660),Brandon Marsh (27560558),Corbin Carroll (27560580),Nick Castellanos (27560553),49700.0,124.1,3160.6999999999966,1157.0,3,0,1,0,0,0,4,0,0,0,91.60953100000022,88.875,114.54,142.551,1.7318063958513368,2.748320635354427
31,Matt Strahm (27560537),Michael Wacha (27560533),Tyler Stephenson (27560568),Connor Joe (27560595),Jonathan India (27560549),Spencer Steer (27560617),Rodolfo Castro (27560615),Andrew McCutchen (27560556),Bryan Reynolds (27560543),Jack Suwinski (27560627),49800.0,135.1,11882.100000000202,4356.0,0,0,3,0,0,0,0,5,0,0,100.98517599999981,97.08,128.21200000000002,162.8579999999999,1.7277548209366855,2.7322789199047457
32,Michael Wacha (27560533),Sean Manaea (27560532),Blake Sabol (27560631),Matt Carpenter (27560644),David Villar (27560590),Manny Machado (27560564),Xander Bogaerts (27560559),Juan Soto (27560557),Mike Yastrzemski (27560586),Trent Grisham (27560597),49800.0,117.7,3201.799999999997,1175.0,0,0,0,0,0,0,0,0,5,3,97.44472299999975,94.08,123.31,155.17299999999994,1.7249361702127635,2.741112319238359
33,Kodai Senga (27560531),Michael Wacha (27560533),Yan Gomes (27560620),Eric Hosmer (27560639),Bryson Stott (27560585),Patrick Wisdom (27560569),Francisco Lindor (27560562),Cody Bellinger (27560612),Ian Happ (27560555),Tommy Pham (27560606),49700.0,152.9,3655.2999999999956,1343.0,0,5,0,0,0,2,1,0,0,0,88.65198800000009,86.28,109.12200000000001,133.17249999999996,1.721742367833206,2.736267293451282
